date,gold_silver_ratio
2025-07-22,111.0405
2025-07-23,109.4896
2025-07-24,109.2663
2025-07-25,108.0138
2025-07-28,106.3968
2025-07-29,107.657
2025-07-30,109.6121
2025-07-31,111.1987
2025-08-01,111.136
2025-08-04,110.2774
2025-08-05,110.5368
2025-08-06,111.3697
2025-08-07,107.5198
2025-08-08,111.3095
2025-08-11,112.0106
2025-08-12,113.2273
2025-08-13,113.7242
2025-08-14,114.4749
2025-08-15,113.6254
2025-08-18,112.487
2025-08-19,107.8011
2025-08-20,103.7478
2025-08-21,103.2008
2025-08-22,103.1104
2025-08-25,100.9159
2025-08-26,96.6489
2025-08-27,96.9769
2025-08-28,96.3985
2025-08-29,97.2919
2025-09-01,96.0582
2025-09-02,97.5656
2025-09-03,97.445
2025-09-04,97.131
2025-09-05,96.1708
2025-09-08,94.99
2025-09-09,93.8035
2025-09-10,93.8698
2025-09-11,92.5635
2025-09-12,93.4199
2025-09-15,92.9635
2025-09-16,94.6036
2025-09-17,96.9423
2025-09-18,96.299
2025-09-19,93.3574
2025-09-22,93.6047
2025-09-23,93.5836
2025-09-24,91.6224
2025-09-25,91.5557
2025-09-26,91.3684
2025-09-29,87.4664
2025-09-30,86.9521
2025-10-01,87.4856
2025-10-02,87.3345
2025-10-03,88.4166
2025-10-06,88.7389
2025-10-07,88.7322
2025-10-08,89.2298
2025-10-09,89.5987
2025-10-10,90.4595
2025-10-13,91.9253
2025-10-14,93.2512
2025-10-15,92.6479
2025-10-16,92.5224
2025-10-17,93.1022
2025-10-20,89.2848
2025-10-21,87.8556
2025-10-22,89.3258
2025-10-23,91.1515
2025-10-24,91.6433
2025-10-27,92.942
2025-10-28,92.8783
2025-10-29,93.1385
2025-10-30,93.5817
2025-10-31,94.9164
2025-11-03,94.1464
2025-11-04,95.3741
2025-11-05,93.101
2025-11-06,91.7044
2025-11-07,89.5894
2025-11-10,87.5089
2025-11-11,87.4824
2025-11-12,87.0562
2025-11-13,87.9795
2025-11-14,88.1529
2025-11-17,88.3241
2025-11-18,89.089
2025-11-19,89.77
2025-11-20,86.7368
2025-11-21,89.6538
2025-11-24,90.8856
2025-11-25,90.2834
2025-11-26,87.8958
2025-11-27,89.0223
2025-11-28,87.1293
2025-12-01,84.4886
2025-12-02,84.0309
2025-12-03,82.9129
2025-12-04,83.497
2025-12-05,84.3489
2025-12-08,84.1979
2025-12-09,82.2814
2025-12-10,80.4252
2025-12-11,79.6276
2025-12-12,81.0065
2025-12-15,81.3722
2025-12-16,81.6539
2025-12-17,82.1836
2025-12-18,80.8878
2025-12-19,82.499
2025-12-22,83.4553
2025-12-23,80.5048
2025-12-24,79.8844
2025-12-25,80.0689
2025-12-26,82.996
2025-12-29,80.8983
2025-12-30,80.8198
2025-12-31,83.1319
2026-01-01,85.3041
2026-01-02,84.237
2026-01-05,85.9478
2026-01-06,84.7973
2026-01-07,85.7482
2026-01-08,85.687
2026-01-09,84.4033
2026-01-12,82.3507
2026-01-13,84.8955
2026-01-14,87.0652
2026-01-15,86.7133
2026-01-16,85.5415
2026-01-19,85.2057
2026-01-20,86.8864
2026-01-21,85.7811
2026-01-22,86.2874
2026-01-23,85.3812
2026-01-26,85.9021
2026-01-27,84.2124
2026-01-28,81.5017
2026-01-29,82.8724
2026-01-30,82.9134
2026-02-02,82.147
2026-02-03,81.2017
2026-02-04,82.9631
2026-02-05,82.759
2026-02-06,84.7815
2026-02-09,84.6674
2026-02-10,84.1357
2026-02-11,83.757
2026-02-12,82.9378
2026-02-13,84.2316
2026-02-16,86.4994
2026-02-17,86.726
2026-02-18,86.2838
2026-02-19,84.2871
2026-02-20,84.3655
2026-02-23,85.6555
2026-02-24,88.4144
2026-02-25,88.6394
2026-02-26,86.9848
2026-02-27,86.6475
2026-03-02,86.1926
2026-03-03,84.5512
