シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価
EMOR,Healixa Inc,0.0165,USD,10.000000000000009,19830,0.7317856233462863,12450648.100000001,USD,,,,,0,テクノロジーサービス,評価なし
SFIO,Starfleet Innotech Inc,0.0013,USD,8.33333333333334,1226475,0.4023633266286722,1670949.5833333335,USD,1.0833333333333335,0.0012,USD,-63.63636363636365,0,非耐久消費財,評価なし
NMP,NMP Acquisition Corp. Class A,10.08,USD,0,1141,0.04414199718357809,160985998.50222883,USD,210,0.048,USD,,0,金融,評価なし
MHF,Western Asset Municipal High Income Fund,7.01,USD,0,31749,0.5476392125476288,152046199,USD,42.203491872366044,0.1661,USD,-80.23089740537966,5.82025677603424,その他,評価なし
EIIA,Eagle Point Institutional Income Fund Red Pfd Registered Shs Series A,25.2,USD,0.1390820584144651,3884,1.3470208781299855,,,,,,,,その他,評価なし
FRBKQ,"Republic First Bancorp, Inc.",0.0001,USD,0,27006,4.069129701060752,7093,USD,,,,,0,金融,評価なし
KVAC,Keen Vision Acquisition Corporation,11.82,USD,0,318,0.04952885289307686,109198127,USD,54.823747680890534,0.2156,USD,-50.09259259259259,0,金融,評価なし
FRHC,Freedom Holding Corp.,124.36,USD,1.8009168303863807,87987,0.7719281930526726,7605849269.630976,USD,3156.345177664975,0.0394,USD,-99.26254515507141,0,金融,評価なし
EKWX,"Ekwan-X, Inc.",0.000001,USD,0,300000,0.6534801630650834,,,,,,,,電子テクノロジー,評価なし
YCY,AA Mission Acquisition Corp. II Class A,10.08,USD,0.19880715705764984,251727,5.33062419000991,148531331.02186877,USD,,,,,0,金融,評価なし
GUT,Gabelli Utility Trust,6.09,USD,0.1644736842105228,208438,0.728114269346179,536445088.00000006,USD,10.733168840324286,0.5674,USD,913.2142857142857,9.86842105263158,その他,評価なし
CVSI,"CV Sciences, Inc.",0.0364,USD,-6.522855675398049,516120,1.6836828065816691,6707197.298407806,USD,,-0.008,USD,47.019867549668874,0,ヘルスケアテクノロジー,評価なし
GLXZ,Galaxy Gaming Inc.,1.8,USD,-6.15224191866527,308248,1.503638511736993,45601590.40667362,USD,,-0.0372,USD,63.84839650145773,0,生産財製造,評価なし
CBAF,Citba Financial Corporation,39.6,USD,-0.9999999999999963,3444,3.0480573502079826,73416576.42,USD,10.965580261955528,3.6113,USD,49.12251723995541,2.2,金融,評価なし
RNGT,Range Capital Acquisition Corp. II Class A,10.02,USD,0.4008016032064043,78225,1.5241615406647662,313893187.61723447,USD,,,,,0,金融,評価なし
UNPA,UNB Corp.,88,USD,0,101,2.4754901960784315,1951224030,USD,,,,,,金融,評価なし
CHOOF,Choom Holdings Inc,0.000001,USD,0,1000,0.03998624473181226,,,,,,,,小売業,評価なし
LBRG,"Ladybug Resources Group, Inc.",0.0037,USD,-7.499999999999998,70000,0.6741614154307843,1400095.0000000002,USD,,,,,0,テクノロジーサービス,評価なし
MITQ,Moving iMage Technologies Inc,0.6856,USD,-2.7517730496453865,13534,0.5958282338231798,6814680.200851064,USD,,-0.0434,USD,75.24244152880777,0,耐久消費財,評価なし
HCBN,HCB Financial Corp.,42.7,USD,6.086956521739138,740,0.3915136765250516,45518197.93470375,USD,6.407947655921725,6.6636,USD,21.680696820846183,3.3857315598549,金融,評価なし
DNP,DNP Select Income Fund Inc,10.19,USD,0.5923000987166704,942954,1.6764377710788108,3817196730,USD,8.846254015105478,1.1519,USD,-49.659120706231974,7.69990128331688,その他,評価なし
BCAT,BlackRock Capital Allocation Term Trust,14.99,USD,-0.1997336884154418,703300,0.7504694835931237,,,,,,,,その他,評価なし
ORIQ,Origin Investment Corp I,10.16,USD,-0.2748331370239543,7050,0.174274166635767,87629998.00549668,USD,,,,,0,金融,評価なし
CPZ,Calamos Long/Short Equity & Dynamic Income Trust,15.016,USD,0.37433155080213343,45937,0.5858504185647895,293697637.2,USD,15.286572330245344,0.9823,USD,-63.206981796389236,12.5394385026738,その他,評価なし
FLOD,Flowery Gold Mines Company of Nevada,0.37,USD,-2.6315789473684235,8500,4.96669393479023,2861580,USD,,-0.0064,USD,,0,非エネルギー鉱物,評価なし
SFDL,Security Federal Corporation,33.86,USD,0.029542097488915835,700,1.4144271570014144,105768174.00000001,USD,,,,,1.77200236266982,金融,評価なし
JCE,Nuveen Core Equity Alpha Fund,15.98,USD,0,52941,1.6145717379039022,269004124,USD,7.178473563631463,2.2261,USD,-19.7570470766347,8.01001251564456,その他,評価なし
VHC,VirnetX Holding Corporation,17.89,USD,-2.771739130434772,20686,1.059825906969357,76405320.79402176,USD,,-4.6537,USD,11.898451402824579,0,テクノロジーサービス,評価なし
APWC,Asia Pacific Wire & Cable Corp.,1.68,USD,0.5988023952095813,6532,0.664104597490799,34635259.25748503,USD,12.603150787696924,0.1333,USD,-24.68926553672316,0,電子テクノロジー,評価なし
GDET,GD Entertainment & Technology Inc,0.000001,USD,0,6210460,25.882179376473214,4922,USD,,,,,,消費者サービス,評価なし
IRME,IR-Med Inc,0.001,USD,-67.74193548387096,681,0.013059511869581309,97377.7,USD,,-0.0327,USD,34.46893787575151,0,ヘルスケアテクノロジー,評価なし
MKDTY,Molecular Data Inc. Sponsored ADR Class A,0.0001,USD,0,520,0.11400758588936878,1218,USD,,,,,0,テクノロジーサービス,評価なし
MGXMF,MGX Minerals Inc,0.000001,USD,-99,4999,0.038890163877035824,,,,,,,,非エネルギー鉱物,評価なし
ZEO,Zeo Energy Corp. Class A,1.04,USD,9.565950273914876,87587,0.7807677976405902,59831124.39949431,USD,,-0.7468,USD,57.71473868976841,0,公益事業,評価なし
TMXN,Trimax Corporation,0.0022,USD,46.66666666666667,19000,0.15769781115438117,919851,USD,,,,,0,非耐久消費財,評価なし
SMEV,"Simulated Environment Concepts, Inc.",0.0065,USD,-1.5151515151515191,3000,0.00661895722300326,4501867.500000001,USD,,,,,0,消費者サービス,評価なし
MMMM,Quad M Solutions Inc,0.0001,USD,0,497170,0.7812094895968107,21743.7,USD,,,,,0,商業サービス,評価なし
SVUHF,SRIVARU Holding Limited,0.03,USD,0,1216,0.3706300100582539,7660797.299999999,USD,,,,,0,金融,評価なし
GMZP,GEMZ Corp.,0.0001,USD,-50,23050250,0.7540082019762795,296799,USD,,0,USD,100,0,耐久消費財,評価なし
BMHL,Bluemount Holdings Limited Class B,3.7757,USD,1.7736327124720304,3463,1.0007513582244827,105832861.84037304,USD,,,,,0,金融,評価なし
SWZ,Total Return Securities Fund,6.06,USD,-0.3289473684210602,32941,0.18696601510553268,103201312,USD,6.31447327289778,0.9597,USD,143.51687388987565,6.91776315789474,その他,評価なし
NOMA,Nomadar Corp. Class A,4.56,USD,-0.21881838074399723,12136,0.30004845871614066,69190714.97592998,USD,,-0.1216,USD,-107.5085324232082,0,消費者サービス,評価なし
INBC,InBankShares Corporation,12.49,USD,-1.264822134387353,2200,1.1344884488448845,147188700.2181818,USD,,,,,0,金融,評価なし
TFGL,Tracker Financial Group Ltd,1.6,USD,-19.999999999999996,1460,0.2838865231678625,2835126.4000000004,USD,,,,,,非耐久消費財,評価なし
TECTP,Tectonic Financial Inc 9.00 % Non-Cum Perp Pfd Registered Shs Series B,10,USD,0.20040080160320214,127062,12.873164949393637,,,,,,,,金融,評価なし
NTIP,"Network-1 Technologies, Inc.",1.27,USD,0,36253,1.1641341485344363,28980968,USD,,-0.11,USD,-77.99352750809061,7.8740157480315,商業サービス,評価なし
WSBK,"Winchester Bancorp, Inc.",12.1,USD,0.8333333333333304,9239,0.8478324707264251,108424989.29166666,USD,,,,,0,金融,評価なし
AMEN,"AMEN Properties, Inc.",495,USD,-0.8953454848319785,92,8.846153846153847,26307270,USD,27.215447377970335,18.1882,USD,-59.69829448638492,7.57575757575758,その他,評価なし
ASFT,"Appsoft Technologies, Inc.",0.247,USD,-7.564031555469068,600,0.3549455750118315,1110314,USD,,,,,0,テクノロジーサービス,評価なし
SOBS,Solvay Bank Corp.,30.777,USD,3.4521008403361377,280,0.20356234096692108,78025905.22961345,USD,,,,,5.91596638655462,金融,評価なし
PFN,PIMCO Income Strategy Fund II,7.51,USD,0.8053691275167733,425580,1.34345178530278,695505925,USD,7.435643564356435,1.01,USD,14.95561119963578,11.5651006711409,その他,評価なし
RGT,"Royce Global Trust, Inc.",14.49,USD,0.764951321279551,13410,0.3707113178911751,93743363.8,USD,6.628242074927954,2.1861,USD,22.621718644828373,1.32127955493741,その他,評価なし
WEBC,"Webco Industries, Inc.",266,USD,6.4,5,0.047892720306513405,216258006.16216218,USD,13.227315899134258,20.1099,USD,58.157623612869735,0,非エネルギー鉱物,評価なし
BNR,Burning Rock Biotech Ltd. Sponsored ADR,31,USD,1.010101010101006,2943,0.24283580734860968,330426831,USD,,-1.6078,USD,72.17135439203808,0,ヘルスケアサービス,評価なし
SRLY,Southern Realty Co.,15.75,USD,5,200,0.613308800981294,,,,,,,,金融,評価なし
RYDE,Ryde Group Limited Class A,0.283,USD,5.439642324888206,31647,0.08908038373781256,34424636.65424738,USD,,-0.2795,USD,70.55415086388537,0,テクノロジーサービス,評価なし
PEVM,Phoenix Motor Inc.,0.63,USD,22.33009708737864,18992,1.1400923263478262,8138029.281553398,USD,,-1.6607,USD,47.56898402475216,0,耐久消費財,評価なし
MASK,3 E Network Technology Group Ltd. Class A,0.2266,USD,5.004633920296573,436238,0.14859966890572077,5126038.515291937,USD,1.575799721835883,0.1438,USD,4.50581395348838,0,テクノロジーサービス,評価なし
JRS,Nuveen Real Estate Income Fund Real Estate Income Fund,8.07,USD,1.0012515644555704,99016,1.2960786212999007,230851075,USD,15.758640890451085,0.5121,USD,-29.052369077306732,8.51063829787234,その他,評価なし
GEOS,Geospace Technologies Corporation,10,USD,-4.671115347950431,318847,0.8104613407446909,128871981.88751192,USD,,-2.1733,USD,-160.18197054950312,0,産業サービス,評価なし
MTEST.A,MTEST.A,25.07,USD,-0.042662286140338714,76050,0.954502667085033,,,,,,,,,評価なし
QEBR,"Virtual Medical International, Inc.",0.0002,USD,0,65000,3.0599467098511455,85144,USD,,,,,0,テクノロジーサービス,評価なし
PTLE,PTL Limited Class A,0.1144,USD,-1.3793103448275899,543075,0.47520386536769876,28884569.999999996,USD,,-0.0117,USD,-1075.0000000000002,0,交通・輸送,評価なし
PNNX,"Pennexx Foods, Inc.",0.0132,USD,-26.256983240223462,46000,2.909182899064002,760784.5810055867,USD,,,,,0,非耐久消費財,評価なし
BASA,"Basanite, Inc.",0.0541,USD,17.60869565217392,1913812,7.873942015104314,14475041.867391305,USD,,-0.0077,USD,-20.312499999999996,0,消費者サービス,評価なし
OPITQ,Office Properties Income Trust,0.0002,USD,-98.18181818181819,54289,0.5550608185687571,813738,USD,,-4.905,USD,-1877.173913043478,363.636363636364,金融,評価なし
FMHS,Farmhouse Inc.,0.1087,USD,81.16666666666669,1000,0.0975105555176348,2057251,USD,,-0.0153,USD,44.56521739130435,0,通信,評価なし
WWRL,"World Wireless Communications, Inc.",0.004,USD,0,98750,26.26609213746143,1326200,USD,,,,,0,耐久消費財,評価なし
MODD,Modular Medical Inc,0.4293,USD,1.2500000000000062,65304,0.33135782423381366,33346451.587500002,USD,,-0.5062,USD,21.397515527950315,0,ヘルスケアテクノロジー,評価なし
BMNM,"Bimini Capital Management, Inc. Class A",2.88,USD,8.679245283018867,1937,0.3011645443661862,28999679.63773585,USD,31.544359255202625,0.0913,USD,,0,金融,評価なし
CTA/PA,"EIDP, Inc. USD 3.50 Cum Pref Registered Shs",54.51,USD,0.018348623853207357,503,0.4055143502096098,,,,,,,,素材産業,評価なし
JACS,Jackson Acquisition Co. II Class A,10.51,USD,0,106,0.0020268035205194736,280716000,USD,42.464646464646464,0.2475,USD,,0,金融,評価なし
TRIB,Trinity Biotech Plc Sponsored ADR Class A,0.87,USD,8.749999999999995,976533,6.822628142652037,14905616,USD,,-2.3491,USD,-3.5165028863526238,0,ヘルスケアテクノロジー,評価なし
IMCC,IM Cannabis Corp,1.16,USD,1.7543859649122824,19881,0.28974840668253304,6086301.228070175,USD,,-0.7856,USD,81.489597323343,0,素材産業,評価なし
TRRE,"Terra Energy Resources, Ltd.",0.04,USD,0,25700,2.9289084402707815,12828360,USD,,,,,0,金融,評価なし
BGEM,"Blue Gem Enterprise, Inc.",0.0001,USD,0,23320,12.78228458671344,15436.058,USD,,,,,,流通サービス,評価なし
DRJG,DRJ International Group Limited Inc.,0.02578,USD,13.603313797206184,1000,0.08782252823494283,6653628.999999999,USD,,,,,0,テクノロジーサービス,評価なし
LGBI,"Cannabiz Mobile, Inc.",0.000001,USD,0,300,0.0011339582703356517,648.1179999999999,USD,,,,,,商業サービス,評価なし
SPQS,"SportsQuest, Inc.",0.0003,USD,49.99999999999998,1434673,0.12712198785351222,1207249.5,USD,,0,USD,100,0,消費者サービス,評価なし
SUNWQ,"Sunworks, Inc.",0.000001,USD,0,103,0.0428952190571381,57.00000000000001,USD,,,,,,電子テクノロジー,評価なし
FRZT,"Freeze Tag, Inc.",0.0084,USD,1.2048192771084265,7500,0.0711207203106553,630469.9999999999,USD,,-0.004,USD,38.46153846153846,0,テクノロジーサービス,評価なし
LUDG,"Ludwig Enterprises, Inc.",0.022,USD,7.317073170731697,40000,0.8704091358142895,3576535.707317073,USD,,,,,0,金融,評価なし
LOKV,Live Oak Acquisition Corp. V Class A,10.3225,USD,0.1212415130940765,26661,1.0017772801226437,296771887.01454896,USD,,-0.0737,USD,,0,金融,評価なし
NRO,Neuberger Real Estate Securities Income Fund Inc.,3.05,USD,0.3289473684210456,266085,0.8957043154107192,192619872,USD,,-0.0983,USD,-107.85394694790669,12.2477754698033,その他,評価なし
GSRF,GSR IV Acquisition Corp. Class A,10.03,USD,0,23331,0.1786322698801232,294937167.99701196,USD,,,,,0,金融,評価なし
BIOF,"Blue Biofuels, Inc.",0.175,USD,-0.05711022272987821,54677,0.277809110077992,55251587.66419189,USD,,-0.0109,USD,-1457.1428571428573,0,ヘルスケアテクノロジー,評価なし
OVBC,Ohio Valley Banc Corp.,42.9,USD,-0.16290435187340072,24009,2.1395154031920294,202101944.92669305,USD,,,,,2.14102862462183,金融,評価なし
PDX,PIMCO Dynamic Income Strategy Fund,20.23,USD,-0.24654832347140387,145333,0.9281062948102349,,,,,,,,その他,評価なし
QEDN,"QED Connect, Inc.",0.0002,USD,0,577927,0.125748149125507,847360,USD,,-0.0021,USD,-320,0,非エネルギー鉱物,評価なし
GMGZ,Genuine Marketing Group Inc.,0.22,USD,-15.384615384615389,5700,2.4499269320037818,20799307,USD,,-0.0085,USD,-142.8571428571429,0,商業サービス,評価なし
CDT,CDT Equity Inc.,1.12,USD,-3.4482758620689493,62774,0.03416784580043679,1824929.9310344832,USD,,-412.0841,USD,83.69868904079243,0,ヘルスケアテクノロジー,評価なし
OSBK,Oconee Financial Corporation,49,USD,4.366347177848769,100,0.20362451639177356,44099999.014381975,USD,,,,,2.11203862013477,金融,評価なし
MGYR,Magyar Bancorp Inc,18.2,USD,0,6739,1.561507982482572,117899443.00000001,USD,10.601735888623523,1.7167,USD,33.098154752674816,1.53846153846154,金融,評価なし
TRC,Tejon Ranch Co.,16.72,USD,0.8443908323281096,73138,0.7943902393988796,449666929.7177322,USD,150.7664562669071,0.1109,USD,,0,金融,評価なし
FCUV,"Focus Universal, Inc.",6.14,USD,0.6557377049180334,23985,0.6022130104122465,6057256.957377049,USD,,-8.0089,USD,-80.38063063063062,0,商業サービス,評価なし
BYFC,Broadway Financial Corporation,8.01,USD,0.12499999999999734,981,0.35815991237677985,73537885.5975,USD,,-0.2662,USD,-170.44191585075416,0,金融,評価なし
POM,PomDoctor Ltd. Unsponsored ADR,0.23,USD,-4.166666666666659,385249,0.7902154560595991,28606123,USD,,,,,0,流通サービス,評価なし
USNA,"USANA Health Sciences, Inc.",21.43,USD,1.0849056603773606,94090,0.9297283837409684,391758781.27924526,USD,24.075946522862598,0.8901,USD,-68.52434668835532,0,ヘルスケアテクノロジー,評価なし
AIIO,Robo.ai Inc. Class B,0.1499,USD,-13.50259665320254,8811832,1.3817849175332153,55515232.32198499,USD,,-0.4879,USD,-2595.5801104972375,0,流通サービス,評価なし
TXHE,"Texhoma Energy, Inc.",0.000001,USD,0,8333,0.007717475028879175,2402.37,USD,,,,,,エネルギー鉱物,評価なし
MMVVF,MultiMetaVerse Holdings Limited Class A,0.0051,USD,0,500,0.29845400823733065,188694.39,USD,,,,,0,消費者サービス,評価なし
XBIO,"Xenetic Biosciences, Inc.",2.13,USD,0,7136,0.3614848435727022,4879949.000000001,USD,,-2.0467,USD,22.704784923901958,0,ヘルスケアテクノロジー,評価なし
TRCY,Tri City Bankshares Corporation,20.99,USD,0,1380,0.17411930957908547,186915942.00000003,USD,,,,,3.43020485945688,金融,評価なし
RGFC,"Real Good Food Co., Inc. Class A",0.065,USD,-74,144,0.02822422579380635,113131.98000000001,USD,,,,,0,非耐久消費財,評価なし
CCZ,Comcast Corp 2 % Zero Premium Option Note Exchangeable Secs 1999-15.10.29 Based on 2% Exchangeable Subord Debs 29 Sprint,64.38,USD,0.8458646616541228,194,1.0532030401737242,113727913824,USD,,,,,,消費者サービス,評価なし
GLNS,Golden Star Resource Corp.,0.981775,USD,-11.551801801801814,1000,1.7059024223814396,6941149.000000001,USD,,-0.0102,USD,-47.82608695652175,0,非エネルギー鉱物,評価なし
TRSO,"Transuite.Org, Inc.",0.37,USD,148.65591397849465,19978,2.658416500332668,22221865,USD,,-1.6764,USD,-38886.0465116279,0,テクノロジーサービス,評価なし
CUPR,Cuprina Holdings (Cayman) Limited Class A,0.439,USD,5.124521072796928,59361,0.4367926888493179,3233234.9999999995,USD,,-0.0997,USD,,0,ヘルスケアテクノロジー,評価なし
GRLT,"Grillit, Inc.",0.0009,USD,-5.263157894736844,41857128,1.3231259521743255,3468453.157894736,USD,3,0.0003,USD,199.99999999999997,0,金融,評価なし
FRFR,"Fritzy Tech, Inc.",0.0001,USD,0,1000,0.3053435114503817,1694.68,USD,,,,,0,金融,評価なし
GLOP/PA,GasLog Partners LP Cum Red Perp Pfd Uts Series A,25.84,USD,-0.6153846153846159,4407,1.2878810017826354,,,,,,,,交通・輸送,評価なし
FTFI,First Berlin Bancorp Inc,35.7,USD,-3.9548022598870025,3455,3.618179914127134,,,,,,,,金融,評価なし
GMEV,"GME Innotainment, Inc.",0.000001,USD,0,60000,0.13055872825353984,5410.87,USD,,,,,,消費者サービス,評価なし
PPMH,Point To Point Methodics Inc,0.000001,USD,0,2000,1.0118897040222616,507.93149999999997,USD,,,,,,テクノロジーサービス,評価なし
OZSCD,Ozop Energy Solutions Inc,0.215,USD,16.216216216216218,12836,0.22247141547351434,545855.9459459459,USD,,-4.15,USD,15.30612244897959,0,消費者サービス,評価なし
PRMO,"Prom Resources, Inc.",0.032,USD,0,792,0.3438096891821499,742191,USD,,,,,0,非エネルギー鉱物,評価なし
DLNG,Dynagas LNG Partners LP,3.78,USD,0.7999999999999948,155977,1.6861521630792815,138086971.34399998,USD,2.4391817771181517,1.5497,USD,18.87849033445842,5.25333333333333,交通・輸送,評価なし
YHGJ,Yunhong Green CTI Ltd.,3.41,USD,-0.8720930232558082,4501,0.43081664688540905,9458873.10755814,USD,,-0.3311,USD,55.72345546937684,0,生産財製造,評価なし
LEJUY,Leju Holdings Ltd. Sponsored ADR,0.0051,USD,0,1000,0.2192549716064812,70298,USD,,,,,0,金融,評価なし
ECLP,Eclipse Bancorp Inc,7.11,USD,0,46400,37.708248679398615,,,,,,,,金融,評価なし
BGY,BlackRock Enhanced International Dividend Trust of Benef Interest,6.18,USD,0.16207455429497222,482447,1.2854212421810494,573426843,USD,13.018748683378975,0.4747,USD,8.627002288329521,8.28525121555916,その他,評価なし
GHG,GreenTree Hospitality Group Ltd. Sponsored ADR Class A,1.49,USD,2.054794520547947,29962,0.816067503561205,148225761,USD,,,,,3.49315068493151,消費者サービス,評価なし
LQMT,"Liquidmetal Technologies, Inc.",0.106,USD,4.495268138801256,242136,0.4591744432792431,97232217.94164036,USD,,-0.0023,USD,-64.28571428571428,0,非エネルギー鉱物,評価なし
KEN,Kenon Holdings Ltd.,76.4,USD,3.243243243243251,10189,0.64737276828261,3984278477.4432435,USD,8.441336029257405,9.0507,USD,180.88573024641553,6.48648648648649,公益事業,評価なし
YHNA,YHN Acquisition I Limited,10.66,USD,0,115,0.09502561560072714,82614998.99999999,USD,411.5830115830116,0.0259,USD,,0,金融,評価なし
HPNN,"Hop-on, Inc.",0.00045,USD,1.1235955056179807,2069064,1.1347274711875064,3449790,USD,,-0.0001,USD,0,0,電子テクノロジー,評価なし
EFSG,"Enterprise Financial Services Group, Inc. Class A",26.94,USD,0,500,1.0785159620362381,31359613,USD,9.669430386561862,2.7861,USD,2.107307776881905,1.65181885671863,金融,評価なし
CSPI,CSP Inc.,10.42,USD,-2.0676691729323364,17084,0.678232561832546,103207844.61842106,USD,,-0.0146,USD,72.65917602996255,1.12781954887218,テクノロジーサービス,評価なし
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,15.51,USD,0.12911555842478742,60828,1.1996142491169735,455014103,USD,10.599330280872001,1.4633,USD,-26.81670417604401,8.19625564880568,その他,評価なし
MMD,NYLI MacKay DefinedTerm Muni Opportunities Fund Shs of Beneficial Interest,15.68,USD,0.5128205128205132,35264,0.504869158370056,292960200,USD,157.9053373615307,0.0993,USD,-90.20323599052882,4.61538461538462,その他,評価なし
CDIX,Cardiff Lexington Corporation,5.05,USD,288.46153846153845,9850,2.8075476000456026,70773860.8877551,USD,,-0.8138,USD,-104.2102975870204,0,ヘルスケアサービス,評価なし
IGTA,Inception Growth Acquisition Ltd.,12.75,USD,21.428571428571427,3793,2.4507333462557344,35879292,USD,,-0.3524,USD,-369.2131398013751,0,金融,評価なし
ENSV,Enservco Corporation,0.0006,USD,19.999999999999986,1723,0.2586854037173828,34909.19999999999,USD,,,,,0,産業サービス,評価なし
NWBO,"Northwest Biotherapeutics, Inc.",0.2505,USD,-2.3010920436817535,1603552,0.658760942687356,385940875.1292239,USD,,-0.0659,USD,-4.272151898734167,0,ヘルスケアテクノロジー,評価なし
CAHO,"Caro Holdings, Inc.",0.514,USD,0.7843137254901967,425,0.7709051333212408,19108364.165384617,USD,,-0.0187,USD,-94.7916666666667,0,非耐久消費財,評価なし
BCLI,Brainstorm Cell Therapeutics Inc.,0.57,USD,5.516475379489067,41533,2.359199531943174,6289822.32506479,USD,,-1.4637,USD,58.086592978638116,0,ヘルスケアテクノロジー,評価なし
REDFY,Rediff.com India Ltd. Sponsored ADR,0.0001,USD,0,200,0.0265770135409884,36198,USD,,,,,0,テクノロジーサービス,評価なし
OFAL,OFA Group Class A,0.4802,USD,-7.117988394584139,69772,0.3232991601505937,6830178.107156673,USD,,,,,,産業サービス,評価なし
BSTK,"Brite-Strike Tactical Illumination Products, Inc.",0.014,USD,6.626047220106635,78924,1.9661055794012798,,,,,,,,耐久消費財,評価なし
GMND,Green Mountain Development Corp.,0.0002,USD,100,2916,0.062664666669532,38346.64,USD,,,,,,産業サービス,評価なし
BANX,ArrowMark Financial Corp.,20.05,USD,-0.8897676717745908,41219,0.9918833004863281,158003582.8,USD,7.303391250500857,2.7453,USD,4.966735489791224,8.89767671774592,その他,評価なし
DUKR,Duke Robotics Corp.,0.32407,USD,-2.5353383458646594,2176,0.05852152467935529,17570690.414586466,USD,,-0.0195,USD,-16.766467065868266,0,電子テクノロジー,評価なし
RMMZ,RiverNorth Managed Duration Municipal Income Fund II Inc Registered,15.1,USD,0.4657351962741203,10590,0.2870253173133997,,,,,,,,その他,評価なし
MFGI,"Merchants Financial Group, Inc.",34.25,USD,0,2796,3.3171194685016245,280121895,USD,,,,,2.30656934306569,金融,評価なし
ZENV,"Zenvia, Inc. Class A",0.846,USD,0.714285714285715,2217,0.16405573603084275,44471923.71428572,USD,,-0.3912,USD,20.114355727996738,0,テクノロジーサービス,評価なし
FCAP,"First Capital, Inc.",53.3,USD,1.9120458891013385,8530,0.9890199079388268,178428512.88336518,USD,10.90068717277487,4.8896,USD,37.03651803480844,2.29445506692161,金融,評価なし
MIRA,"MIRA Pharmaceuticals, Inc.",1.21,USD,1.6806722689075646,68440,0.3579995961781294,50670067.78151261,USD,,-1.5218,USD,-108.83765609990394,0,ヘルスケアテクノロジー,評価なし
OWUV,"One World Universe, Inc.",0.0033,USD,0,150,0.0010782926745108866,657720.6760563379,USD,,-0.0005,USD,-150,0,生産財製造,評価なし
NDBI,"Nuclear Diamond Batteries, Inc",6.99,USD,35.728155339805824,390,1.2241054613935969,500481092.99999994,USD,,,,,0,金融,評価なし
GRCO,Greenbelt Resources Corporation,0.0001,USD,0,500,0.06742906462401553,8291.19,USD,,,,,0,産業サービス,評価なし
UNVC,"Univec, Inc.",0.003,USD,-4.306220095693784,430970,0.3883506868788885,7569289.95215311,USD,,-0.0005,USD,28.57142857142857,0,流通サービス,評価なし
MBOF,Marine Bancorp Of Florida Inc,39.99,USD,0.6037735849056654,469,0.6308851224105462,,,,,,,,金融,評価なし
BLRK,Bluerock Acquisition Corp. Class A,9.91,USD,0,174,,172845000,USD,,,,,0,金融,評価なし
BRZV,Breezer Ventures Inc.,0.0003,USD,-62.5,100,0.00073664770781016,56122.2,USD,,,,,0,エネルギー鉱物,評価なし
SHGI,"Sparx Holdings Group,Inc",0.0071,USD,-45.38461538461538,13500,3.6709721278042147,2025984.9999999998,USD,,-0.0001,USD,99.94444444444444,0,非エネルギー鉱物,評価なし
EGYF,"Energy Finders, Inc.",0.0025,USD,-7.40740740740741,329524,0.6565351772625453,307465.74074074073,USD,,,,,0,商業サービス,評価なし
RNGG,Reno Gold Corp.,0.0056,USD,1.818181818181823,19100,0.8424897114803558,467204,USD,,,,,0,非エネルギー鉱物,評価なし
NPCT,Nuveen Core Plus Impact Fund,10.55,USD,0.7640878701050627,120601,0.7520247130980917,,,,,,,,その他,評価なし
LYJN,"Lyric Jeans, Inc.",0.000001,USD,0,4100,0.12442189339774948,,,,,,,,,評価なし
LFEV,"Life Electric Vehicles Holdings, Inc.",1.23,USD,2.500000000000002,900,0.3631814696743473,8705137.425,USD,,-0.1931,USD,-149.80595084087972,0,金融,評価なし
SGMD,"Sugarmade, Inc.",0.0003,USD,0,14175,1.5151029308022832,18714,USD,,,,,0,小売業,評価なし
HOFT,Hooker Furnishings Corporation,14.42,USD,1.620859760394647,49728,0.8747768112372794,155414710.40873855,USD,,-2.8248,USD,-204.36375390582913,5.67300916138126,耐久消費財,評価なし
MWWC,Marketing Worldwide Corporation,0.0003,USD,0,1058249,0.04621648219885726,1718672,USD,,0,USD,,0,生産財製造,評価なし
SLCH,"Spotlight Capital Holdings, Inc.",0.0001,USD,9900.000000000002,70000,4.124270151478551,1550.1200000000001,USD,,,,,0,消費者サービス,評価なし
FDBL,"Friendable, Inc.",0.0001,USD,0,254,0.017330194794118552,1110,USD,,,,,0,テクノロジーサービス,評価なし
CPBI,"Central Plains Bancshares, Inc.",17.72,USD,0.05703024861799206,3578,2.100258276590749,74651500.67024659,USD,18.541383279271738,0.9557,USD,-58.24449493184202,0,金融,評価なし
NC,"NACCO Industries, Inc. Class A",53.96,USD,0.3160438743260861,8848,0.7702888583218707,402549956.3264547,USD,13.860419716935091,3.8931,USD,,1.8311953894776,エネルギー鉱物,評価なし
BSET,"Bassett Furniture Industries, Inc.",16.01,USD,1.1370814908401863,23104,1.1230034899433248,138556467.6443462,USD,22.77382645803699,0.703,USD,,5.05369551484523,耐久消費財,評価なし
