Ticker,Name,Sector,Industry,Close,Change %,Volume,Relative Volume,Market Cap,SMA20,SMA50,SMA200,RSI,MACD.macd,MACD.signal,ADX,ATR,P/E,EPS (TTM)
UNH,UnitedHealth Group,Healthcare,Healthcare Plans,585.30,-0.40,3200000,0.88,540000000000,590.00,595.00,560.00,42.1,-3.20,-2.10,26.5,9.80,35.2,16.63
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers,148.20,-0.25,7500000,0.82,357000000000,149.50,150.80,158.00,40.5,-0.80,-0.50,15.2,2.20,23.1,6.42
LLY,Eli Lilly,Healthcare,Drug Manufacturers,795.40,1.60,4200000,1.25,755000000000,780.00,760.00,720.00,64.5,8.50,6.20,28.3,14.50,125.0,6.36
PFE,Pfizer Inc,Healthcare,Drug Manufacturers,26.80,-0.55,38000000,1.05,152000000000,27.20,27.80,28.50,38.2,-0.25,-0.18,18.9,0.55,48.7,0.55
ABBV,AbbVie Inc,Healthcare,Drug Manufacturers,182.50,0.35,6800000,0.90,322000000000,180.00,178.00,170.00,53.8,1.50,1.20,20.5,3.20,62.5,2.92
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,108.60,-1.20,16000000,1.15,455000000000,111.00,113.50,112.00,35.2,-1.80,-1.20,22.8,2.30,13.8,7.87
CVX,Chevron Corp,Energy,Oil & Gas Integrated,148.30,-0.95,8500000,1.08,268000000000,151.00,153.20,155.00,37.5,-1.50,-1.00,20.5,3.10,14.2,10.44
COP,ConocoPhillips,Energy,Oil & Gas E&P,105.20,-1.50,7200000,1.20,125000000000,108.00,110.50,115.00,32.8,-2.10,-1.40,25.3,2.50,11.5,9.15
SLB,Schlumberger,Energy,Oil & Gas Equipment,42.50,-1.80,12000000,1.25,60000000000,43.80,45.20,48.00,30.1,-1.20,-0.80,28.1,1.10,14.5,2.93
EOG,EOG Resources,Energy,Oil & Gas E&P,125.80,-1.35,4500000,1.10,72000000000,128.50,130.80,128.00,34.5,-1.60,-1.10,23.2,2.80,10.2,12.33
AMZN,Amazon.com,Consumer Cyclical,Internet Retail,228.50,1.45,48000000,1.08,2380000000000,224.00,218.00,195.00,63.2,3.80,2.90,26.8,4.50,42.5,5.38
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,420.80,3.20,95000000,1.55,1350000000000,400.00,380.00,280.00,72.5,15.20,10.50,38.5,12.80,185.0,2.27
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,412.50,0.40,3500000,0.78,408000000000,410.00,405.00,375.00,52.8,1.50,1.20,16.5,5.80,26.8,15.39
NKE,Nike Inc,Consumer Cyclical,Footwear & Accessories,75.20,-0.85,12000000,1.12,112000000000,76.50,78.00,85.00,38.5,-1.10,-0.80,22.1,1.50,28.5,2.64
MCD,McDonald's Corp,Consumer Discretionary,Restaurants,298.50,0.25,3200000,0.82,213000000000,296.00,292.00,280.00,54.1,1.20,0.90,18.2,4.50,25.5,11.71
PG,Consumer Staples,Consumer Defensive,Household Products,172.80,0.15,6200000,0.78,408000000000,172.00,170.50,162.00,51.2,0.50,0.40,14.8,2.30,28.5,6.06
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,62.50,0.10,12500000,0.82,270000000000,62.20,61.80,60.00,52.5,0.20,0.15,12.5,0.85,27.2,2.30
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,152.30,-0.20,5500000,0.85,208000000000,153.00,154.50,172.00,43.2,-0.80,-0.55,16.8,2.50,22.1,6.89
WMT,Walmart Inc,Consumer Defensive,Discount Stores,96.80,0.35,8800000,0.75,780000000000,95.50,93.00,82.00,58.2,0.80,0.60,22.5,1.50,38.5,2.51
COST,Costco Wholesale,Consumer Defensive,Discount Stores,985.60,0.55,1800000,0.80,437000000000,978.00,960.00,850.00,60.1,5.20,4.00,25.8,14.00,55.2,17.86
LIN,Linde PLC,Basic Materials,Specialty Chemicals,468.50,0.30,2200000,0.82,225000000000,465.00,460.00,440.00,54.8,1.50,1.20,18.2,6.50,35.2,13.31
FCX,Freeport-McMoRan,Basic Materials,Copper,45.80,2.10,18000000,1.35,65000000000,44.00,42.50,43.00,66.2,1.50,0.90,30.5,1.20,30.5,1.50
NEM,Newmont Corp,Basic Materials,Gold,48.20,1.85,12000000,1.28,55000000000,47.00,45.50,42.00,63.5,1.20,0.80,26.8,1.30,18.5,2.60
AMT,American Tower,Real Estate,REIT - Specialty,210.50,-0.35,2800000,0.88,98000000000,212.00,215.00,205.00,44.5,-1.20,-0.80,18.5,3.80,42.1,5.00
PLD,Prologis Inc,Real Estate,REIT - Industrial,118.20,-0.50,5500000,0.92,110000000000,119.50,121.00,118.00,42.8,-0.80,-0.55,16.2,2.10,38.2,3.09
NEE,NextEra Energy,Utilities,Utilities - Regulated Electric,78.50,0.20,10000000,0.85,160000000000,78.00,77.00,72.00,53.5,0.50,0.35,16.8,1.30,22.5,3.49
SO,Southern Company,Utilities,Utilities - Regulated Electric,88.20,0.15,5200000,0.80,96000000000,87.80,87.00,82.00,52.8,0.30,0.25,14.5,1.20,22.8,3.87
DUK,Duke Energy,Utilities,Utilities - Regulated Electric,112.80,0.10,3200000,0.78,87000000000,112.50,112.00,105.00,51.5,0.20,0.15,12.8,1.50,19.5,5.78
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction,405.20,0.85,3800000,0.92,195000000000,400.00,395.00,365.00,57.5,3.20,2.50,22.8,6.80,17.8,22.76
GE,GE Aerospace,Industrials,Aerospace & Defense,198.50,1.10,6500000,1.05,215000000000,195.00,190.00,172.00,61.2,2.80,2.10,25.5,3.50,35.5,5.59
UNP,Union Pacific,Industrials,Railroads,248.30,0.25,2800000,0.80,152000000000,246.00,242.00,235.00,53.2,1.20,0.90,17.5,3.80,22.5,11.04
HON,Honeywell Intl,Industrials,Conglomerates,218.50,0.45,4200000,0.85,142000000000,216.00,212.00,205.00,55.8,1.50,1.10,19.2,3.20,23.2,9.42
