シンボル,詳細,テクニカルの評価 1日,移動平均線の評価 1日,オシレーターの評価 1日,RSI (相対力指数) (14) 1日,MOM (モメンタム) (10) 1日,AO (オーサム・オシレーター) 1日,CCI (商品チャネル指数) (20) 1日,"STOCH (ストキャスティクス) (14,3,3) 1日, %K","STOCH (ストキャスティクス) (14,3,3) 1日, %D",ローソク足パターン 1日
VLN,Valens Semiconductor Ltd.,売り,強い売り,中立,42.070391940523436,-0.29000000000000004,-0.21509411764705844,-86.24577445383231,17.117117117117132,12.548920426733952,
HURN,Huron Consulting Group Inc.,強い売り,強い売り,売り,26.849587096741857,-24.089999999999975,-10.7504985294118,-239.15721060229086,15.654764717329527,29.10418056537738,
NSPR,InspireMD Inc.,中立,中立,中立,56.13427865534907,0.125,-0.0498191176470586,217.34808717582152,81.72980384771135,72.84115675309509,同時線
IPST,"Heritage Distilling Holding Company, Inc.",売り,強い売り,中立,22.94271905674104,-0.6878000000000001,-0.5444794117647009,-111.2681787174965,5.559027777777779,5.318073999159661,
WTI,"W&T Offshore, Inc.",買い,強い買い,売り,71.19692612842556,0.3900000000000001,0.40017205882353557,164.99811589651085,93.27809414765936,87.13947143090094,
IMNM,"Immunome, Inc.",買い,強い買い,中立,55.48277130751659,-0.7699999999999996,2.278119411764692,19.953910703682162,37.10737788586401,45.9786185084341,
WLFC,Willis Lease Finance Corporation,買い,強い買い,中立,74.75255466375944,20.629999999999995,31.265527941176146,153.24841826759058,93.20236525395363,92.1559426074197,
SATL,Satellogic Inc. Class A,中立,中立,中立,46.38070650051927,-2.18,0.2337379411764715,-79.36054862648035,10.218978102189768,10.940351873998628,
AMSC,American Superconductor Corporation,買い,買い,中立,54.11997209075396,-0.2900000000000027,-2.172676470588158,2.2684643662384696,49.2557978539287,32.060239412346526,
ATHR,Aether Holdings Inc.,売り,強い売り,売り,46.94368029406422,-0.040000000000000036,-0.3600920588235281,-76.10437562795387,31.565134932601236,23.53434433268143,"カラカサ, 下影線"
SLDP,"Solid Power, Inc. Class A",売り,強い売り,中立,34.529496982579786,-1.3200000000000003,-0.8845602941176449,-106.75923586989354,9.759759759759747,7.885959701465126,
HCWB,"HCW Biologics, Inc.",売り,強い売り,中立,34.542675197397,-0.2649999999999999,-0.19448307352941674,-99.75417177485372,10.628019323671506,8.097538532321146,
TNON,"Tenon Medical, Inc.",売り,強い売り,売り,40.15052523150717,-0.1520999999999999,-0.2107491029411741,-90.1299528172657,34.66553792021619,19.58205875458078,
MYSZ,"My Size, Inc.",売り,強い売り,買い,34.78759729339605,-0.2147,-0.16336016176470747,-114.0387549534134,14.145891698287164,10.98190178634116,
NAVN,"Navan, Inc. Class A",売り,強い売り,中立,36.494584029017304,-3.1400000000000006,-3.8685441176470494,-70.64038944340918,20.47486894850448,15.604527039732142,
FC,Franklin Covey Co.,買い,買い,中立,50.60488662794537,-0.5500000000000007,0.47153999999999385,-67.28341605205455,35.85526315789466,31.99577444132794,
BCHT,Birchtech Corp.,売り,強い売り,中立,36.478675043213094,-0.45999999999999996,-0.4354764705882346,-122.6955502613679,26.828914798753583,20.60747586680105,
AVO,"Mission Produce, Inc.",買い,強い買い,買い,63.76115192986436,0.25,1.1993970588234646,65.13683268196564,71.11721962514129,79.35245417598868,陽のコマ
GLDD,Great Lakes Dredge & Dock Corporation,強い買い,強い買い,中立,66.03008286886828,0.9400000000000013,1.1676573529411751,173.09534372767365,65.56404744845157,51.271238444482286,
WLAC,Willow Lane Acquisition Corporation Class A,売り,強い売り,売り,36.200380973312896,-0.5999999999999996,-1.1063265294117564,-87.61605253230329,17.922948073701818,13.144152133215092,
GAME,GameSquare Holdings Inc,売り,強い売り,中立,28.26617677936777,-0.14840000000000003,-0.11093126176470575,-126.55459918153967,12.032520325203228,10.506296827674156,
LENZ,"LENZ Therapeutics, Inc.",売り,強い売り,中立,31.499704023939017,-5.73,-2.509409999999999,-115.36773762729993,3.624089210397567,3.1898286148408683,
TZOO,Travelzoo,売り,強い売り,中立,37.89987399376475,-0.5099999999999998,-0.7975264705882594,-121.33188154480256,21.59090909090907,18.079733505265395,
AYTU,"Aytu BioPharma, Inc.",売り,強い売り,買い,39.35568463583807,-0.29000000000000004,-0.26160323529411755,-142.33789720258162,21.17633828160142,21.1275381974518,はらみ線 (強気)
LOVE,Lovesac Company,売り,強い売り,中立,43.3812560476623,-0.7400000000000002,-1.2577238235294423,-69.04607271987012,17.325968571520175,13.617315156524498,包み線 (強気)
FVCB,"FVCBankcorp, Inc.",買い,強い買い,中立,69.60505400827519,0.8699999999999992,1.3017441176470257,102.78839298896655,77.48049664637286,82.7786484349381,
ASRT,"Assertio Holdings, Inc.",買い,買い,中立,52.62280605850035,-0.5800000000000001,1.2230426470587865,30.613706418795456,57.11939225952161,63.551106136813274,
WDH,"Waterdrop, Inc. Sponsored ADR Class A",買い,強い買い,買い,59.64797986600363,0.20000000000000018,-0.0064523529411781855,119.68859735841876,92.929292929293,84.13299663299668,下影線
RPT,Rithm Property Trust Inc,強い売り,強い売り,売り,36.75016077166302,-1.9300000000000015,-0.8641897058823176,-143.3805868454853,24.76943346508568,23.98495827843659,
CRBP,Corbus Pharmaceuticals Holdings Inc,売り,強い売り,売り,41.894445720525795,-1.58,-0.44227941176470686,-63.727441703025285,24.99999999999999,18.402777777777768,
CLPT,"ClearPoint Neuro, Inc.",売り,強い売り,売り,47.42469718815287,-0.8000000000000007,-0.8308958823529391,-15.088620194318157,32.68765133171914,24.398946843332453,
RAPP,"Rapport Therapeutics, Inc.",強い買い,強い買い,買い,53.94093379985042,0.870000000000001,-1.134901470588268,161.90448163797546,65.76239524957475,47.10984393019993,
LNSR,LENSAR Inc,買い,強い買い,中立,56.78154834087628,-0.05000000000000071,0.2748729411764721,58.891475860739796,36.02233319461787,34.10930535454088,上影線
GLUE,"Monte Rosa Therapeutics, Inc.",中立,中立,中立,45.060654994605244,-3.530000000000001,-0.770604117647057,-96.72144377013018,11.030385124526683,8.243228218521141,
SVRA,"Savara, Inc.",売り,売り,中立,40.66727343957565,-0.5800000000000001,-0.5048676470588269,-110.14492753623153,11.990407673860929,10.378416634281534,陽のコマ
WGS,GeneDx Holdings Corp. Class A,売り,強い売り,買い,39.484258116244206,-1.230000000000004,-24.607060882352883,-53.09361358293806,33.70107696348831,20.45809591816131,
CRML,Critical Metals Corp.,売り,売り,中立,43.34434340088035,-7.27,-1.2687014705882405,-106.47750347781191,9.192449241140677,6.869589394195188,
NNOX,NANO-X IMAGING LTD,売り,強い売り,中立,34.61917201367072,-0.8200000000000003,-0.477292352941177,-110.30598325264786,12.421383647798729,9.694630239703592,
ELTX,"Elicio Therapeutics, Inc",買い,強い買い,中立,55.3306638412492,0.25,0.19480147058823327,204.45342483574987,71.0204081632653,55.79566796043573,
XPL,Solitario Resources Corp.,買い,強い買い,中立,54.05143137674464,0.025899999999999923,0.022802647058824066,14.488209234827027,31.250000000000018,23.836246981311962,
ARQ,"Arq, Inc.",買い,買い,買い,57.665333722334736,0.06000000000000005,0.09265323529413116,119.11802094543356,44.144144144144185,31.131131131131145,
ECOR,"electroCore, Inc.",売り,強い売り,買い,41.56216597260945,-2.5199999999999996,-0.44869529411764475,-112.98514852431552,9.803921568627441,7.00484431966839,上影線
ARBB,ARB IOT Group Limited,売り,強い売り,買い,45.99117234853679,-0.16999999999999993,-0.3062555882352962,-113.78348279702585,16.666666666666654,12.151161369078167,
SVCO,"Silvaco Group, Inc.",売り,強い売り,中立,35.892581399317024,-0.8999999999999999,-0.5321764705882401,-122.73277295340417,14.171656686626752,11.555443890773233,"トンカチ, 上影線"
PRLD,"Prelude Therapeutics, Inc.",中立,買い,中立,49.37913928041567,-0.020000000000000018,-0.13707411764705624,15.147897265754443,62.84093879278917,63.39537074204497,首吊り線
CAPS,Capstone Holding Corp,売り,強い売り,中立,39.11701502558,-0.11609999999999998,-0.10962396470588309,-84.91970333600707,25.862089479490987,19.356356119732386,
CBK,"Commercial Bancgroup, Inc.",強い買い,強い買い,買い,58.42936244998797,1.1700000000000017,1.4146852941176462,82.58844089161953,64.28911079410368,64.19400855920117,
KSCP,"Knightscope, Inc. Class A",売り,売り,中立,49.21503290376644,-0.06000000000000005,-0.46714154411766273,-3.869992187120496,52.718573123115355,35.07315675389452,
SDA,SunCar Technology Group Inc. Class A,買い,買い,中立,55.85111365380351,0.07999999999999985,-0.1107499999999999,-34.52065687513466,37.03703703703695,22.253280534202897,
BRC,Brady Corporation Class A,買い,強い買い,買い,85.01526901288253,8.840000000000003,7.928207352941385,149.6198864339644,81.30895126886612,84.75590661278335,
ESP,Espey Mfg. & Electronics Corp.,強い買い,強い買い,買い,74.60743200369028,9.060000000000002,7.199651455882417,207.84555379641412,86.46047365431387,79.69277433304391,
SLE,"Super League Enterprise, Inc.",売り,強い売り,中立,33.12394657764308,-1.6900000000000004,-2.2508142352941194,-101.4308462235611,9.817490009635405,7.504990262864133,トンカチ
AQST,"Aquestive Therapeutics, Inc.",売り,売り,中立,44.989165820786894,0.3899999999999997,-0.520357058823528,72.14573614089305,71.23287671232879,71.38508371385086,
CDRE,"Cadre Holdings, Inc.",買い,強い買い,買い,51.08270214873354,0.22999999999999687,-0.4072323529412145,16.052598134870465,41.45349789480783,34.03474289678295,
PALI,"Palisade Bio, Inc.",中立,売り,買い,48.47959805797219,-0.08000000000000007,-0.2668323529411767,19.766105381431565,48.36601307189542,35.29411764705882,"トンカチ, 上影線"
MCB,Metropolitan Bank Holding Corp.,買い,強い買い,中立,64.74051187670152,4.819999999999993,10.793298823529355,73.32929887274243,82.26449879633492,87.37703452627267,
UPB,"Upstream Bio, Inc.",中立,売り,中立,45.28617922220734,-4.690000000000001,-1.9573661764706003,-130.6781918884234,17.269290713183167,11.179942587014457,包み線 (強気)
STIM,"Neuronetics, Inc.",売り,強い売り,中立,38.155689446811195,-0.7800000000000002,-0.24707323529411762,-118.16838085853276,15.08771929824559,14.853801169590602,
AUDC,AudioCodes Ltd.,強い売り,強い売り,売り,38.28597111686766,-1.0700000000000003,-0.9237132352941417,-79.41927505375953,30.691056910569127,25.067750677506783,
BWEN,"Broadwind, Inc.",売り,強い売り,中立,35.68903896324136,-0.8600000000000003,-0.6772455882352935,-141.64337437845288,14.897119341563775,13.4802802967597,
CGON,"CG Oncology, Inc.",買い,強い買い,中立,56.410702773047774,-2.009999999999998,2.3697652941176557,-31.634787919582916,32.91613384996521,21.708615061227295,
ISPR,"Ispire Technology, Inc.",強い買い,強い買い,中立,59.078914509335625,0.3600000000000003,0.31488588235294923,97.61412586289237,51.946351706501524,46.427613317927694,
CBAN,"Colony Bankcorp, Inc.",買い,強い買い,売り,70.85250936603356,2.2399999999999984,2.1608279411764713,102.16134395394354,82.27176220806793,83.40410474168435,
ATEX,Anterix Inc.,強い買い,強い買い,中立,66.15922346439396,2.8900000000000006,3.209666176470602,126.03203118477515,77.92921224492815,67.32699161696921,陽のコマ
DSS,"DSS, Inc.",売り,強い売り,中立,44.58764422536422,-0.30999999999999994,-0.08989298529411627,-93.1168351052404,3.4870641169853798,2.8414749591707675,カラカサ
SRI,"Stoneridge, Inc.",買い,強い買い,売り,82.93971314867939,2.3499999999999996,2.0000323529411794,174.11112394825003,91.26482801246198,92.67662566783076,
DYAI,"Dyadic International, Inc.",強い売り,強い売り,売り,37.75572298777832,-0.05130000000000001,-0.06157041176470601,-130.84182131677943,26.45466847090661,30.018042399639143,
TSSI,"TSS, Inc.",売り,強い売り,売り,42.77173696271126,-2.2699999999999996,-0.4859897058823499,-107.6161314055556,28.41880335755809,21.545419092713264,
NKTR,Nektar Therapeutics,強い買い,強い買い,買い,73.31548659861332,17.97,-0.007204411764718088,596.7368612613701,69.41421277819727,54.9315967353396,
CRVO,CervoMed Inc.,売り,強い売り,中立,34.95782859315143,-0.9000000000000004,-1.673715294117656,-53.13331937663255,32.48270248270247,23.278171491229898,陰の丸坊主
DBD,Diebold Nixdorf Incorporation,強い買い,強い買い,買い,59.47653786543849,4.060000000000002,1.7354705882352306,145.5954070974096,82.40338640124985,68.67264343090895,
NXGL,"NexGel, Inc.",売り,強い売り,中立,38.42351921975659,-0.26,-0.28697411764705727,-61.45885552616714,20.23809523809526,14.470203285992776,
GDYN,"Grid Dynamics Holdings, Inc. Class A",売り,強い売り,中立,24.70322819273477,-1.3999999999999995,-1.6336558823529383,-120.67224637444153,7.209384901125319,7.731653857414348,
CCB,Coastal Financial Corporation,売り,強い売り,買い,29.202153818579333,-16.739999999999995,-20.204419117647078,-104.58996759193984,12.0612759356215,9.359787805082174,
ALLR,"Allarity Therapeutics, Inc.",売り,強い売り,中立,40.482137726664504,-0.26979999999999993,-0.22034911764705956,-65.35401265210695,20.068506951440657,14.650636935545215,
JBIO,"Jade Biosciences, Inc.",売り,売り,中立,46.15626441879884,-1.540000000000001,0.15409264705882286,-81.77973256240138,19.01422143842277,27.194595272027076,同時線
BRCC,BRC Inc Class A,強い売り,強い売り,売り,34.06665643630497,-0.1159,-0.18963764705882158,-87.7210378449844,24.58029408359384,21.89419158418971,
SXI,Standex International Corporation,強い買い,強い買い,中立,63.653225521034464,15.47999999999999,10.49988823529435,221.99930667703077,83.68345212627871,65.5207702354207,
HUT,Hut 8 Corp.,中立,買い,中立,49.88265938977448,-6.940000000000005,-3.4460811764705426,-47.1014064232837,50.04492362982932,36.38710457781939,はらみ線 (弱気)
XPEL,"XPEL, Inc.",買い,強い買い,中立,52.577831404111016,0.25,-0.43464117647058487,-36.70744718390314,34.79052823315114,30.91477469503595,
INVZ,Innoviz Technologies Ltd.,売り,強い売り,中立,44.28243076715538,-0.06400000000000006,-0.07075506470588289,-42.201767319265116,44.37500000000002,34.10751028806586,
DAVE,"Dave, Inc. Class A",中立,売り,中立,48.771381919506844,8.02000000000001,-25.865480294117248,41.64794717380304,71.98314108251996,51.246331092410664,上影線
REVB,"Revelation Biosciences, Inc.",売り,強い売り,買い,24.52693240946077,-0.552,-1.3614867647058835,-76.39489399920566,3.6446469248291593,2.845599606259461,同時線
PAVM,"PAVmed, Inc.",買い,買い,買い,59.483107457054594,2.3100000000000005,1.7078824999999984,55.708316804107945,34.76827621608009,24.611453357583827,
SMP,"Standard Motor Products, Inc.",買い,強い買い,中立,69.8929293720155,4.080000000000005,4.2103408823529875,110.31324518457573,88.8638506412942,90.27003287445484,
SOC,Sable Offshore Corp.,売り,強い売り,中立,43.77796173247965,-1.7199999999999989,-1.7361511764706208,-91.15201609039583,19.64332546551272,15.087906813334724,
CLMB,"Climb Global Solutions, Inc.",売り,売り,売り,48.99418803734023,-1.8300000000000125,4.978576470588507,-90.27308208909842,47.64991323775505,46.52358316513994,
AIRG,"Airgain, Inc.",強い買い,強い買い,買い,79.17228487868556,0.9299999999999997,0.6354102941176496,211.66378936040724,92.82720479008867,87.3273909001274,
EGY,"VAALCO Energy, Inc.",買い,強い買い,売り,57.29416665941639,0.040000000000000036,0.6526458823529406,22.665367008341793,37.028112449799174,41.007056356194845,
AARD,"Aardvark Therapeutics, Inc.",売り,強い売り,売り,43.77956477895913,-2.09,-1.4166376470588222,-73.19981794261248,32.5404086611772,22.954224446716797,
RLMD,Relmada Therapeutics Inc,買い,強い買い,中立,51.47850507648776,-0.08000000000000007,-0.27854617647058966,103.70710471720554,62.07203767341223,50.27788384031226,
SPRY,"ARS Pharmaceuticals, Inc.",売り,強い売り,中立,44.512335694543474,-0.6199999999999992,-0.898610294117665,-85.44219442717878,24.89300710594311,21.240487136120766,
ANTA,Antalpha Platform Holding Company Class A,中立,中立,中立,49.76479633624383,0.4499999999999993,-0.24665441176470715,-7.161256746614479,61.03634483178195,40.39940337285139,
SPWH,"Sportsman's Warehouse Holdings, Inc.",売り,強い売り,中立,45.18449939857995,-0.10000000000000009,-0.048319117647057874,-2.6655516646703976,42.37288135593218,30.76741996233521,
UXIN,Uxin Ltd Sponsored ADR,強い買い,強い買い,買い,57.68860921920609,0.18000000000000016,-0.22887941176471394,80.85578014744483,72.68797564687975,47.50664223071268,
OKYO,OKYO Pharma Limited,売り,強い売り,中立,48.269445183795085,-0.040000000000000036,-0.22975666176470444,-20.501268888545773,26.86567164179102,17.20839129465365,
NRXP,"NRX Pharmaceuticals, Inc.",売り,強い売り,中立,40.90245456790094,-0.3600000000000003,-0.3661691176470572,-105.07617582633259,37.03703703703704,25.973625140291812,
PMTS,"CPI Card Group, Inc.",強い売り,強い売り,売り,34.32184184662884,-1.1900000000000013,-1.0533073529411823,-150.7715300947718,13.759964373190835,18.413815284890784,
CON,"Concentra Group Holdings Parent, Inc.",強い買い,強い買い,買い,72.49411766695827,2.1999999999999993,2.335736764705853,142.47510994471648,82.74960127591707,82.20684712912612,
TNC,Tennant Company,買い,強い買い,中立,61.53300502699893,5.709999999999994,3.86586033823518,109.5127113854218,87.96414852752872,89.08544119247303,同時線
CLFD,"Clearfield, Inc.",買い,買い,中立,53.3677542285308,-0.0400000000000027,0.43173999999998713,68.79892189440348,67.91666666666669,54.26334734964322,
VGZ,Vista Gold Corp.,強い買い,強い買い,中立,61.20065215593893,-0.040000000000000036,0.22045588235294122,94.70255071173399,54.7854785478548,37.49273806675969,
MLCI,Mount Logan Capital Inc,売り,強い売り,買い,18.697273208807587,-1.79,-1.1438538235294144,-208.5375628001543,8.868124969819894,9.2640060192957,
LQDT,"Liquidity Services, Inc.",買い,強い買い,中立,59.84960430344619,0.9299999999999997,1.007550000000002,173.3195804863078,78.03541439328858,73.6567829094481,上影線
FGI,FGI Industries Ltd.,中立,売り,買い,45.38669401045985,-0.8880129999999999,-0.3504905882352958,-105.29991755597405,12.027989417989401,8.916247305506579,
SCYX,"SCYNEXIS, Inc.",強い買い,強い買い,買い,62.795553784765424,0.011099999999999999,0.0655879264705882,100.379425849234,57.89269189020042,45.657417932091285,
XGN,"Exagen, Inc.",売り,強い売り,買い,25.517661530726002,-0.8099999999999996,-1.5520558823529447,-85.68340019990399,8.80374346270301,6.994800746245837,
DUOT,Duos Technologies Group Inc,買い,強い買い,中立,50.26573300890738,-1.0600000000000005,-0.9015820588235286,-20.52099341861563,50,33.70450453073965,陽のコマ
AURA,Aura Biosciences Inc,中立,中立,中立,51.10503693916266,-0.03000000000000025,0.1504894117647071,57.55153525874649,55.63472808999571,57.34494119272631,
FRBA,First Bank,強い買い,強い買い,買い,59.61255427126054,0.6400000000000006,0.3246588235294148,104.34214093918571,71.25279642058162,67.11409395973152,陽のコマ
IGC,"IGC Pharma, Inc.",売り,強い売り,中立,39.87669821614236,-0.028200000000000003,-0.0307842352941175,-83.73908339129574,20.00000000000003,12.579382429548934,
BHRB,Burke Herbert Financial Services Corp,買い,強い買い,中立,67.21926713346737,5.560000000000002,4.549619117647026,123.62468947353585,91.41938623014632,91.35782319599485,
PED,PEDEVCO Corp.,強い買い,強い買い,中立,58.74410057438759,-0.014000000000000012,0.03206795588235234,79.80631189624708,50.68733789912775,46.28576269948406,
VUZI,Vuzix Corporation,売り,強い売り,売り,44.20859604874134,-0.2400000000000002,-0.5940323529411771,-39.57380788878008,36.723173984876496,23.995453323163616,
PRCH,"Porch Group, Inc.",売り,強い売り,中立,39.88444802430594,-0.54,-1.4144576470587937,-60.948496982193305,43.64723467862481,29.265581293867342,
CVGI,"Commercial Vehicle Group, Inc.",買い,強い買い,中立,56.30463103476743,0.11999999999999988,0.02054117647058673,103.82552863317578,79.3030303030303,59.32547699214365,流れ星
SY,"So-Young International, Inc. Sponsored ADR Class A",強い買い,強い買い,買い,75.26826666518672,0.6699999999999999,0.3886761764705864,241.2235374956848,92.13955836622053,78.57617393955186,
SMSI,"Smith Micro Software, Inc.",売り,強い売り,中立,42.61426734271997,-0.07629999999999992,-0.04583050882352624,-108.76228226137185,20.901126408010015,14.256482473819718,
GLSI,"Greenwich LifeSciences, Inc.",買い,強い買い,売り,54.25994700188854,-5.574999999999999,2.431024999999998,15.980857385364525,60.024498095273096,55.563721587313246,
MASS,908 Devices Inc.,買い,強い買い,中立,59.61146770332184,-0.0600000000000005,0.5581499999999933,80.34349951298901,47.99394756129275,43.48445417858371,
TNYA,"Tenaya Therapeutics, Inc.",売り,強い売り,中立,48.615414737846024,0.09220000000000006,0.06599988235294285,59.31567205017722,56.75738543847407,53.698534542916946,
PESI,"Perma-Fix Environmental Services, Inc.",買い,強い買い,中立,60.69697170254415,0.4299999999999997,1.1391852941176381,125.80052194508585,68.5939085104062,58.5635152949957,
RANI,"Rani Therapeutics Holdings, Inc. Class A",買い,強い買い,買い,51.314898749009735,-0.039999999999999813,-0.135577058823531,20.56449437691902,56.621004566210026,37.45341940901694,
ABOS,"Acumen Pharmaceuticals, Inc.",買い,強い買い,買い,57.94129139640055,-0.25,0.24498205882352897,43.18677699982296,52.88820967002027,49.35998633377087,同時線
BKKT,"Bakkt, Inc. Class A",強い売り,強い売り,売り,38.922013797316254,-4.32,-2.6365120588235236,-99.07415230748093,17.19566573989819,12.839333645241979,
MBC,MasterBrand Inc,強い買い,強い買い,買い,68.64982889143252,1.8000000000000007,1.2440147058823836,154.09582303447948,90.21719739541517,89.03099211483259,
MATV,"Mativ Holdings, Inc.",買い,強い買い,中立,70.42314306338906,2.210000000000001,1.464376470588233,170.37825078411117,87.43614654172806,87.51948121796896,陽のコマ
DFIN,"Donnelley Financial Solutions, Inc.",強い売り,強い売り,中立,30.992599932980312,-7.68,-2.7923882352941405,-167.95501399828646,9.871156608870853,14.273566550540352,陰の丸坊主
OABI,"OmniAb, Inc.",売り,強い売り,売り,40.945391783174436,-0.22999999999999998,-0.13262558823529802,-69.82728595136581,22.580645161290324,16.164874551971327,
DAO,"Youdao, Inc. Sponsored ADR Class A",売り,強い売り,売り,41.910379300414384,-1.4900000000000002,-0.954495588235277,-93.3414868923009,22.09777014000579,15.018765370821766,
CSAI,"Cloudastructure, Inc. Class A",売り,強い売り,中立,37.20167232571081,-0.22729999999999995,-0.23666791176470803,-76.61803351105038,25.312829790441736,20.252239730426286,
AKTS,"Aktis Oncology, Inc.",強い売り,強い売り,売り,34.99724231781204,-3.419999999999998,,-164.34069703443464,12.984497732088586,20.76501137804787,
SEER,"Seer, Inc. Class A",強い売り,強い売り,売り,40.023018691312146,-0.1399999999999999,-0.06964852941176525,-121.74160292040673,30.545454545454575,24.772166105499466,
SNWV,"Sanuwave Health, Inc.",売り,強い売り,買い,34.655593926819435,-0.8999999999999986,-2.4993117647058725,-106.57457399030567,17.044258929306228,11.936535879952068,同時線
ALLT,Allot Ltd.,買い,強い買い,売り,54.59522345940896,-0.120000000000001,-0.3936058823529365,49.62734186084567,57.54290876242097,36.37900449052801,
CRD.A,Crawford & Company Class A,買い,強い買い,中立,51.55380648348213,0.4300000000000015,-0.07482558823527619,29.42263584913976,60.904255319148994,59.88475177304969,
BGC,"BGC Group, Inc. Class A",買い,買い,中立,51.70158850947994,0.23000000000000043,0.08703823529409327,109.5232905575356,51.699029126213624,39.76771223730989,
ARTV,"Artiva Biotherapeutics, Inc.",売り,強い売り,中立,43.540249772798774,-0.9599999999999995,-0.4504350000000028,-90.07036276247914,16.803896037747048,16.32506592475539,
CBIO,"Crescent Biopharma, Inc.",売り,強い売り,中立,33.28928611531562,-1.8200000000000003,-1.9953058823529695,-83.38832381429242,10.922694488834118,9.05521680519225,陽のコマ
ANGX,"Angel Studios, Inc. Class A",売り,強い売り,中立,43.056112898745454,-0.4299999999999997,-0.8774861764705912,-46.47234221057908,32.94117647058821,20.63878168895124,
MAMA,"Mama's Creations, Inc.",買い,強い買い,中立,60.27336058248211,0.46000000000000085,1.5769747058823498,81.58430955234985,59.448551125506775,71.45542155321986,
BWMX,"Betterware de Mexico, S.A.P.I. de C.V.",買い,強い買い,中立,60.89816096286122,0.120000000000001,1.4638985294118427,63.57024591821651,51.390982124838445,48.28095893889677,
FLD,"Fold Holdings, Inc. Class A",売り,強い売り,買い,30.673185403364414,-0.4099999999999999,-0.5153852941176449,-160.69996888213797,10.000000000000005,8.774483532345792,
BLGO,"BioLargo, Inc.",強い売り,強い売り,中立,44.12285909714186,-0.0021999999999999797,-0.0061707794117647485,-72.9328235020261,43.54609929078015,39.06572104018917,
ABX,"Abacus Global Management, Inc. Class A",買い,強い買い,中立,52.468464482289605,0.030000000000001137,-0.5904326470588286,-7.974166667501908,41.87177597641858,27.34231101103201,
BEEP,Mobile Infrastructure Corp,中立,中立,中立,51.98164090364561,0.16000000000000014,0.30866176470587936,61.704396233401326,76.84831891571766,82.26002194196063,
PURR,"Hyperliquid Strategies, Inc",買い,買い,中立,56.08356883117026,0.28000000000000025,0.8920470588235299,54.332304674106,61.95371411906843,63.4771348025941,
FBLG,"FibroBiologics, Inc.",売り,強い売り,中立,43.465446583686195,-0.10289999999999999,-0.040814194117647196,-94.78709880539598,18.512486427795867,11.94458919155452,
